"Base","Time"
"0","74"
"1","63"
"2","49"
"3","47"
"4","47"
"5","48"
"6","50"
"7","48"
"8","51"
"9","45"
"10","45"
"11","48"
"12","48"
"13","48"
"14","51"
"15","50"
"16","47"
"17","44"
"18","59"
"19","44"
"20","49"
"21","53"
"22","44"
"23","53"
"24","48"
"25","48"
"26","48"
"27","47"
"28","46"
"29","51"
"30","47"
"31","47"
"32","43"
"33","47"
"34","48"
"35","44"
"36","47"
"37","48"
"38","50"
"39","49"
"40","53"
"41","46"
"42","45"
"43","48"
"44","62"
"45","56"
"46","47"
"47","50"
"48","45"
"49","48"
"50","50"
"51","54"
"52","48"
"53","46"
"54","48"
"55","51"
"56","43"
"57","48"
"58","43"
"59","45"
"60","50"
"61","55"
"62","54"
"63","52"
"64","49"
"65","45"
"66","45"
"67","49"
"68","45"
"69","47"
"70","54"
"71","50"
"72","45"
"73","48"
"74","56"
"75","52"
"76","45"
"77","47"
"78","50"
"79","46"
"80","49"
"81","45"
"82","48"
"83","53"
"84","49"
"85","47"
"86","45"
"87","42"
"88","50"
"89","53"
"90","47"
"91","49"
"92","50"
"93","46"
"94","47"
"95","49"
"96","45"
"97","47"
"98","49"
"99","52"
"100","45"
"101","47"
"102","48"
"103","48"
"104","45"
"105","51"
"106","55"
"107","50"
"108","49"
"109","48"
"110","50"
"111","46"
"112","50"
"113","48"
"114","47"
"115","45"
"116","46"
"117","46"
"118","48"
"119","46"
"120","51"
"121","48"
"122","48"
"123","48"
"124","50"
"125","50"
"126","51"
"127","45"
"128","55"
"129","42"
"130","45"
"131","54"
"132","45"
"133","52"
"134","45"
"135","43"
"136","47"
"137","48"
"138","46"
"139","42"
"140","45"
"141","48"
"142","48"
"143","50"
"144","46"
"145","42"
"146","54"
"147","51"
"148","46"
"149","45"
"150","54"
"151","51"
"152","45"
"153","44"
"154","49"
"155","47"
"156","45"
"157","52"
"158","57"
"159","47"
"160","52"
"161","47"
"162","49"
"163","47"
"164","46"
"165","52"
"166","49"
"167","48"
"168","46"
"169","54"
"170","50"
"171","54"
"172","44"
"173","44"
"174","43"
"175","52"
"176","44"
"177","53"
"178","46"
"179","48"
"180","50"
"181","47"
"182","46"
"183","47"
"184","47"
"185","49"
"186","45"
"187","45"
"188","43"
"189","48"
"190","48"
"191","45"
"192","47"
"193","47"
"194","48"
"195","46"
"196","48"
"197","46"
"198","43"
"199","46"
"200","53"
"201","44"
"202","54"
"203","47"
"204","52"
"205","43"
"206","46"
"207","48"
"208","44"
"209","44"
"210","53"
"211","46"
"212","44"
"213","43"
"214","53"
"215","42"
"216","46"
"217","47"
"218","46"
"219","52"
"220","48"
"221","46"
"222","51"
"223","46"
"224","49"
"225","51"
"226","56"
"227","45"
"228","49"
"229","48"
"230","51"
"231","47"
"232","49"
"233","42"
"234","48"
"235","48"
"236","52"
"237","49"
"238","47"
"239","48"
"240","48"
"241","46"
"242","48"
"243","46"
"244","45"
"245","45"
"246","49"
"247","51"
"248","42"
"249","47"
"250","47"
"251","49"
"252","46"
"253","48"
"254","50"
"255","45"
"256","48"
"257","44"
"258","46"
"259","43"
"260","50"
"261","61"
"262","45"
"263","52"
"264","49"
"265","49"
"266","44"
"267","49"
"268","55"
"269","46"
"270","49"
"271","51"
"272","46"
"273","47"
"274","43"
"275","43"
"276","43"
"277","44"
"278","51"
"279","47"
"280","48"
"281","52"
"282","49"
"283","45"
"284","52"
"285","44"
"286","51"
"287","43"
"288","47"
"289","47"
"290","46"
"291","47"
"292","44"
"293","52"
"294","52"
"295","51"
"296","50"
"297","46"
"298","48"
"299","50"
"300","48"
"301","45"
"302","50"
"303","47"
"304","46"
"305","51"
"306","51"
"307","45"
"308","48"
"309","49"
"310","48"
"311","46"
"312","48"
"313","54"
"314","47"
"315","43"
"316","46"
"317","56"
"318","46"
"319","46"
"320","46"
"321","46"
"322","46"
"323","47"
"324","53"
"325","48"
"326","57"
"327","49"
"328","45"
"329","48"
"330","48"
"331","49"
"332","46"
"333","45"
"334","47"
"335","50"
"336","46"
"337","48"
"338","45"
"339","50"
"340","49"
"341","44"
"342","48"
"343","43"
"344","48"
"345","50"
"346","48"
"347","47"
"348","53"
"349","45"
"350","52"
"351","50"
"352","50"
"353","51"
"354","45"
"355","53"
"356","45"
"357","49"
"358","51"
"359","47"
"360","44"
"361","43"
"362","42"
"363","50"
"364","46"
"365","46"
"366","49"
"367","47"
"368","49"
"369","45"
"370","51"
"371","48"
"372","48"
"373","46"
"374","46"
"375","48"
"376","47"
"377","45"
"378","42"
"379","48"
"380","50"
"381","44"
"382","48"
"383","47"
"384","43"
"385","49"
"386","55"
"387","41"
"388","49"
"389","51"
"390","45"
"391","47"
"392","45"
"393","47"
"394","49"
"395","48"
"396","47"
"397","53"
"398","44"
"399","47"
"400","51"
"401","50"
"402","45"
"403","43"
"404","46"
"405","46"
"406","45"
"407","44"
"408","45"
"409","47"
"410","47"
"411","46"
"412","43"
"413","50"
"414","45"
"415","46"
"416","54"
"417","44"
"418","45"
"419","43"
"420","43"
"421","45"
"422","49"
"423","44"
"424","51"
"425","51"
"426","46"
"427","48"
"428","45"
"429","48"
"430","46"
"431","48"
"432","43"
"433","47"
"434","46"
"435","46"
"436","43"
"437","50"
"438","50"
"439","43"
"440","49"
"441","52"
"442","50"
"443","49"
"444","51"
"445","45"
"446","50"
"447","45"
"448","45"
"449","48"
"450","44"
"451","45"
"452","43"
"453","45"
"454","45"
"455","51"
"456","47"
"457","43"
"458","45"
"459","55"
"460","44"
"461","49"
"462","50"
"463","43"
"464","46"
"465","43"
"466","45"
"467","45"
"468","44"
"469","45"
"470","45"
"471","47"
"472","50"
"473","46"
"474","50"
"475","46"
"476","49"
"477","50"
"478","47"
"479","54"
"480","47"
"481","44"
"482","56"
"483","46"
"484","46"
"485","48"
"486","51"
"487","45"
"488","49"
"489","44"
"490","48"
"491","50"
"492","45"
"493","48"
"494","46"
"495","46"
"496","46"
"497","48"
"498","54"
"499","46"
"500","51"
"501","47"
"502","54"
"503","44"
"504","45"
"505","54"
"506","45"
"507","45"
"508","46"
"509","49"
"510","48"
"511","45"
"512","52"
"513","42"
"514","44"
"515","49"
"516","51"
"517","49"
"518","45"
"519","43"
"520","42"
"521","44"
"522","48"
"523","44"
"524","43"
"525","46"
"526","45"
"527","46"
"528","47"
"529","50"
"530","44"
"531","48"
"532","43"
"533","45"
"534","49"
"535","45"
"536","50"
"537","50"
"538","43"
"539","43"
"540","43"
"541","51"
"542","49"
"543","44"
"544","47"
"545","50"
"546","47"
"547","49"
"548","48"
"549","50"
"550","49"
"551","49"
"552","47"
"553","43"
"554","47"
"555","47"
"556","47"
"557","45"
"558","60"
"559","46"
"560","49"
"561","46"
"562","42"
"563","44"
"564","44"
"565","48"
"566","46"
"567","45"
"568","43"
"569","48"
"570","44"
"571","52"
"572","51"
"573","44"
"574","47"
"575","43"
"576","47"
"577","47"
"578","45"
"579","48"
"580","52"
"581","46"
"582","48"
"583","47"
"584","47"
"585","52"
"586","51"
"587","44"
"588","46"
"589","46"
"590","52"
"591","59"
"592","46"
"593","47"
"594","47"
"595","50"
"596","49"
"597","49"
"598","47"
"599","46"
"600","47"
"601","48"
"602","49"
"603","46"
"604","45"
"605","43"
"606","51"
"607","45"
"608","46"
"609","53"
"610","49"
"611","43"
"612","45"
"613","47"
"614","46"
"615","50"
"616","45"
"617","48"
"618","44"
"619","45"
"620","43"
"621","49"
"622","45"
"623","45"
"624","46"
"625","46"
"626","46"
"627","47"
"628","43"
"629","49"
"630","46"
"631","51"
"632","46"
"633","43"
"634","48"
"635","51"
"636","45"
"637","46"
"638","49"
"639","46"
"640","45"
"641","44"
"642","43"
"643","47"
"644","44"
"645","45"
"646","44"
"647","49"
"648","57"
"649","46"
"650","50"
"651","45"
"652","52"
"653","52"
"654","47"
"655","44"
"656","49"
"657","53"
"658","47"
"659","51"
"660","44"
"661","41"
"662","51"
"663","49"
"664","46"
"665","44"
"666","47"
"667","42"
"668","54"
"669","46"
"670","47"
"671","47"
"672","45"
"673","47"
"674","44"
"675","45"
"676","44"
"677","49"
"678","59"
"679","50"
"680","47"
"681","48"
"682","47"
"683","48"
"684","51"
"685","51"
"686","49"
"687","44"
"688","49"
"689","42"
"690","51"
"691","43"
"692","43"
"693","48"
"694","44"
"695","46"
"696","48"
"697","49"
"698","46"
"699","48"
"700","52"
"701","55"
"702","45"
"703","53"
"704","45"
"705","45"
"706","43"
