"Index","Collisions"
"0","9974"
"1","8995"
"2","5483"
"3","3981"
"4","3388"
"5","3219"
"6","2903"
"7","2937"
"8","2705"
"9","2781"
"10","2378"
"11","2328"
"12","2225"
"13","2142"
"14","2159"
"15","2372"
"16","2332"
"17","1928"
"18","1838"
"19","2229"
"20","1923"
"21","2233"
"22","2010"
"23","2024"
"24","1975"
"25","1899"
"26","2022"
"27","1966"
"28","1983"
"29","1807"
"30","1775"
"31","1760"
"32","2279"
"33","1839"
"34","1905"
"35","2026"
"36","1770"
"37","1702"
"38","1806"
"39","1880"
"40","1823"
"41","1889"
"42","1830"
"43","1811"
"44","1746"
"45","1844"
"46","1815"
"47","1920"
"48","2017"
"49","1780"
"50","1901"
"51","1862"
"52","1822"
"53","1854"
"54","1787"
"55","1783"
"56","1819"
"57","1831"
"58","1861"
"59","1850"
"60","1779"
"61","1753"
"62","1880"
"63","1899"
"64","3091"
"65","1758"
"66","1794"
"67","2337"
"68","1739"
"69","1687"
"70","1648"
"71","1617"
"72","1701"
"73","1655"
"74","1743"
"75","1649"
"76","1664"
"77","1642"
"78","1736"
"79","1732"
"80","1930"
"81","1802"
"82","1935"
"83","1703"
"84","1902"
"85","1835"
"86","1841"
"87","1787"
"88","1762"
"89","1612"
"90","1664"
"91","1625"
"92","1676"
"93","1666"
"94","1757"
"95","1780"
"96","2343"
"97","1961"
"98","1807"
"99","1747"
"100","1918"
"101","1729"
"102","1738"
"103","1697"
"104","1696"
"105","1679"
"106","1709"
"107","1777"
"108","1686"
"109","1660"
"110","1680"
"111","1680"
"112","1901"
"113","1776"
"114","1896"
"115","1834"
"116","1874"
"117","1830"
"118","1817"
"119","1669"
"120","1702"
"121","1665"
"122","1701"
"123","1775"
"124","1748"
"125","1693"
"126","1695"
"127","1801"
"128","4014"
"129","1676"
"130","1650"
"131","1725"
"132","1785"
"133","1827"
"134","2120"
"135","1638"
"136","1720"
"137","1717"
"138","1727"
"139","1690"
"140","1642"
"141","1678"
"142","1760"
"143","1701"
"144","1870"
"145","1738"
"146","1722"
"147","1698"
"148","1742"
"149","1756"
"150","1663"
"151","1742"
"152","1753"
"153","1771"
"154","1741"
"155","1689"
"156","1709"
"157","1744"
"158","1713"
"159","1725"
"160","2347"
"161","1628"
"162","1741"
"163","1749"
"164","1726"
"165","1712"
"166","1728"
"167","1778"
"168","1751"
"169","1732"
"170","1737"
"171","1755"
"172","1706"
"173","1745"
"174","1739"
"175","1729"
"176","1936"
"177","1678"
"178","1647"
"179","1701"
"180","1779"
"181","1665"
"182","1690"
"183","1731"
"184","1680"
"185","1713"
"186","1671"
"187","1749"
"188","1660"
"189","1715"
"190","1763"
"191","1766"
"192","3090"
"193","1781"
"194","1715"
"195","1693"
"196","1716"
"197","1770"
"198","1853"
"199","2462"
"200","2205"
"201","2256"
"202","1762"
"203","1768"
"204","1630"
"205","1691"
"206","1747"
"207","1692"
"208","1931"
"209","1699"
"210","1746"
"211","1713"
"212","1695"
"213","1770"
"214","1753"
"215","1773"
"216","1727"
"217","1702"
"218","1745"
"219","1692"
"220","1782"
"221","1691"
"222","1683"
"223","1684"
"224","2369"
"225","1690"
"226","1727"
"227","1727"
"228","1816"
"229","1687"
"230","1743"
"231","1672"
"232","1668"
"233","1688"
"234","1781"
"235","1771"
"236","1791"
"237","1740"
"238","1782"
"239","1678"
"240","1942"
"241","1723"
"242","1736"
"243","1694"
"244","1754"
"245","1690"
"246","1751"
"247","1761"
"248","1741"
"249","1722"
"250","1768"
"251","1652"
"252","1822"
"253","1672"
"254","1739"
"255","1627"
"256","5935"
"257","1721"
"258","1696"
"259","1791"
"260","1686"
"261","1666"
"262","1734"
"263","1714"
"264","1747"
"265","1685"
"266","1736"
"267","1659"
"268","1862"
"269","1695"
"270","1625"
"271","1737"
"272","1876"
"273","1704"
"274","1660"
"275","1603"
"276","1602"
"277","1685"
"278","1695"
"279","1655"
"280","1639"
"281","1640"
"282","1604"
"283","1660"
"284","1679"
"285","1643"
"286","1707"
"287","1636"
"288","2225"
"289","1662"
"290","1655"
"291","1705"
"292","1633"
"293","1655"
"294","1667"
"295","1681"
"296","1693"
"297","1612"
"298","1670"
"299","1655"
"300","1673"
"301","1695"
"302","1690"
"303","1630"
"304","1981"
"305","1885"
"306","2024"
"307","1764"
"308","1709"
"309","1702"
"310","1675"
"311","1660"
"312","1642"
"313","1606"
"314","1650"
"315","1672"
"316","1639"
"317","1638"
"318","1624"
"319","1636"
"320","2994"
"321","1694"
"322","1649"
"323","1650"
"324","1638"
"325","1662"
"326","1670"
"327","1650"
"328","1672"
"329","1624"
"330","1685"
"331","1613"
"332","1678"
"333","1641"
"334","1626"
"335","1758"
"336","1881"
"337","1711"
"338","1662"
"339","1660"
"340","1760"
"341","1669"
"342","1716"
"343","1646"
"344","1675"
"345","1740"
"346","1688"
"347","1711"
"348","1737"
"349","1727"
"350","1706"
"351","1719"
"352","2281"
"353","1717"
"354","1746"
"355","1747"
"356","1693"
"357","1696"
"358","1693"
"359","1727"
"360","1713"
"361","1675"
"362","1689"
"363","1666"
"364","1784"
"365","1702"
"366","1700"
"367","1761"
"368","1922"
"369","1692"
"370","1722"
"371","1762"
"372","1727"
"373","1759"
"374","1738"
"375","1731"
"376","1726"
"377","1651"
"378","1758"
"379","1707"
"380","1721"
"381","1710"
"382","1679"
"383","1664"
"384","3796"
"385","1646"
"386","1697"
"387","1729"
"388","1783"
"389","1729"
"390","1695"
"391","1617"
"392","1690"
"393","1711"
"394","1659"
"395","1659"
"396","1654"
"397","1745"
"398","2121"
"399","1728"
"400","2023"
"401","1695"
"402","1911"
"403","1710"
"404","1726"
"405","1599"
"406","1668"
"407","1712"
"408","1720"
"409","1619"
"410","1631"
"411","1608"
"412","1667"
"413","1619"
"414","1663"
"415","1658"
"416","2233"
"417","1637"
"418","1696"
"419","1637"
"420","1629"
"421","1646"
"422","1636"
"423","1672"
"424","1682"
"425","1681"
"426","1659"
"427","1670"
"428","1672"
"429","1625"
"430","1662"
"431","1661"
"432","1893"
"433","1722"
"434","1625"
"435","1637"
"436","1695"
"437","1630"
"438","1665"
"439","1639"
"440","1718"
"441","1642"
"442","1718"
"443","1731"
"444","1734"
"445","1672"
"446","1702"
"447","1792"
"448","3098"
"449","1694"
"450","1700"
"451","1680"
"452","1710"
"453","1715"
"454","1670"
"455","1694"
"456","1724"
"457","1700"
"458","1700"
"459","1693"
"460","1704"
"461","1635"
"462","1710"
"463","1621"
"464","1805"
"465","1698"
"466","1625"
"467","1679"
"468","1660"
"469","1813"
"470","1631"
"471","1669"
"472","1723"
"473","1661"
"474","1704"
"475","1624"
"476","1625"
"477","1594"
"478","1581"
"479","1662"
"480","2268"
"481","1701"
"482","1584"
"483","1669"
"484","1686"
"485","1704"
"486","1659"
"487","1619"
"488","1740"
"489","1663"
"490","1668"
"491","1678"
"492","1640"
"493","1597"
"494","1637"
"495","1627"
"496","1841"
"497","1746"
"498","1684"
"499","1666"
"500","1686"
"501","1713"
"502","1713"
"503","1713"
"504","1666"
"505","1677"
"506","1650"
"507","1632"
"508","1655"
"509","1649"
"510","1681"
"511","1681"
"512","5673"
"513","1610"
"514","1635"
"515","1662"
"516","1729"
"517","1630"
"518","1669"
"519","1711"
"520","1661"
"521","1709"
"522","1702"
"523","1682"
"524","1559"
"525","1667"
"526","1712"
"527","1623"
"528","1863"
"529","1623"
"530","1629"
"531","1650"
"532","1665"
"533","1646"
"534","1687"
"535","1661"
"536","1821"
"537","1674"
"538","1629"
"539","1686"
"540","1640"
"541","1676"
"542","1621"
"543","1656"
"544","2236"
"545","1577"
"546","1628"
"547","1679"
"548","1697"
"549","1560"
"550","1703"
"551","1768"
"552","1721"
"553","1682"
"554","1625"
"555","1661"
"556","1666"
"557","1690"
"558","1660"
"559","1577"
"560","1884"
"561","1707"
"562","1595"
"563","1687"
"564","1652"
"565","1662"
"566","1668"
"567","1698"
"568","1706"
"569","1667"
"570","1655"
"571","1697"
"572","1628"
"573","1672"
"574","1679"
"575","1683"
"576","3023"
"577","1664"
"578","1608"
"579","1657"
"580","1630"
"581","1669"
"582","1700"
"583","1658"
"584","1617"
"585","1652"
"586","1687"
"587","1682"
"588","1661"
"589","1677"
"590","1637"
"591","1605"
"592","1851"
"593","1587"
"594","1667"
"595","1689"
"596","1704"
"597","1986"
"598","1795"
"599","1675"
"600","1690"
"601","1708"
"602","1715"
"603","1789"
"604","1674"
"605","1697"
"606","1677"
"607","1601"
"608","2322"
"609","1681"
"610","1719"
"611","1798"
"612","1723"
"613","1735"
"614","1673"
"615","1674"
"616","1644"
"617","1648"
"618","1684"
"619","1657"
"620","1674"
"621","1648"
"622","1665"
"623","1666"
"624","1810"
"625","1656"
"626","1638"
"627","1695"
"628","1661"
"629","1633"
"630","1619"
"631","1604"
"632","1657"
"633","1701"
"634","1694"
"635","1676"
"636","1659"
"637","1638"
"638","1624"
"639","1728"
"640","3876"
"641","1748"
"642","1684"
"643","1796"
"644","1713"
"645","1667"
"646","1756"
"647","1642"
"648","1691"
"649","1708"
"650","1666"
"651","1688"
"652","1669"
"653","1672"
"654","1716"
"655","1662"
"656","1834"
"657","1726"
"658","1693"
"659","1688"
"660","1651"
"661","1707"
"662","1694"
"663","1686"
"664","1626"
"665","1627"
